service_id,date,exception_type
1004_merged_2013891,20140924,1
1004_merged_2013891,20140925,1
1004_merged_2013891,20140827,1
1004_merged_2013891,20140826,1
1004_merged_2013891,20140825,1
1004_merged_2013891,20140902,1
1004_merged_2013891,20140903,1
1004_merged_2013891,20140909,1
1004_merged_2013891,20140829,1
1004_merged_2013891,20140828,1
1004_merged_2013891,20141111,1
1004_merged_2013891,20141112,1
1004_merged_2013891,20141113,1
1004_merged_2013891,20141114,1
1004_merged_2013891,20141015,1
1004_merged_2013891,20141014,1
1004_merged_2013891,20141010,1
1004_merged_2013891,20140904,1
1004_merged_2013891,20141031,1
1004_merged_2013891,20141030,1
1004_merged_2013891,20141204,1
1004_merged_2013891,20141205,1
1004_merged_2013891,20141118,1
1004_merged_2013891,20141119,1
1004_merged_2013891,20140905,1
1004_merged_2013891,20140917,1
1004_merged_2013891,20140916,1
1004_merged_2013891,20140912,1
1004_merged_2013891,20140911,1
1004_merged_2013891,20140910,1
1004_merged_2013891,20141121,1
1004_merged_2013891,20141120,1
1004_merged_2013891,20141125,1
1004_merged_2013891,20140919,1
1004_merged_2013891,20140918,1
1004_merged_2013891,20141008,1
1004_merged_2013891,20141009,1
1004_merged_2013891,20141107,1
1004_merged_2013891,20141106,1
1004_merged_2013891,20141105,1
1004_merged_2013891,20141104,1
1004_merged_2013891,20141002,1
1004_merged_2013891,20141003,1
1004_merged_2013891,20141001,1
1004_merged_2013891,20141007,1
57902_merged_2013837,20140419,1
150804_merged_2013836,20140416,1
150804_merged_2013836,20140414,1
150804_merged_2013836,20140421,1
150804_merged_2013836,20140418,1
3_merged_2013872,20141005,2
2_merged_2013873,20141004,2
168202_merged_2013879,20140823,1
168202_merged_2013879,20140830,1
128004_merged_2013826,20140519,1
128004_merged_2013826,20140513,1
128004_merged_2013826,20140512,1
128004_merged_2013826,20140414,1
128004_merged_2013826,20140415,1
128004_merged_2013826,20140515,1
128004_merged_2013826,20140514,1
128004_merged_2013826,20140623,1
128004_merged_2013826,20140625,1
128004_merged_2013826,20140624,1
128004_merged_2013826,20140626,1
128004_merged_2013826,20140416,1
128004_merged_2013826,20140708,1
128004_merged_2013826,20140709,1
128004_merged_2013826,20140417,1
128004_merged_2013826,20140702,1
128004_merged_2013826,20140703,1
128004_merged_2013826,20140701,1
128004_merged_2013826,20140707,1
128004_merged_2013826,20140721,1
128004_merged_2013826,20140722,1
128004_merged_2013826,20140723,1
128004_merged_2013826,20140527,1
128004_merged_2013826,20140604,1
128004_merged_2013826,20140728,1
128004_merged_2013826,20140729,1
128004_merged_2013826,20140520,1
128004_merged_2013826,20140521,1
128004_merged_2013826,20140812,1
128004_merged_2013826,20140813,1
128004_merged_2013826,20140811,1
128004_merged_2013826,20140814,1
128004_merged_2013826,20140522,1
128004_merged_2013826,20140611,1
128004_merged_2013826,20140612,1
128004_merged_2013826,20140616,1
128004_merged_2013826,20140617,1
128004_merged_2013826,20140715,1
128004_merged_2013826,20140714,1
128004_merged_2013826,20140717,1
128004_merged_2013826,20140716,1
128004_merged_2013826,20140710,1
128004_merged_2013826,20140731,1
128004_merged_2013826,20140730,1
128004_merged_2013826,20140430,1
128004_merged_2013826,20140805,1
128004_merged_2013826,20140804,1
128004_merged_2013826,20140807,1
128004_merged_2013826,20140806,1
128004_merged_2013826,20140610,1
128004_merged_2013826,20140528,1
128004_merged_2013826,20140529,1
128004_merged_2013826,20140603,1
128004_merged_2013826,20140602,1
128004_merged_2013826,20140605,1
128004_merged_2013826,20140501,1
128004_merged_2013826,20140609,1
128004_merged_2013826,20140508,1
128004_merged_2013826,20140429,1
128004_merged_2013826,20140428,1
128004_merged_2013826,20140423,1
128004_merged_2013826,20140422,1
128004_merged_2013826,20140421,1
128004_merged_2013826,20140505,1
128004_merged_2013826,20140506,1
128004_merged_2013826,20140507,1
128004_merged_2013826,20140618,1
128004_merged_2013826,20140619,1
128004_merged_2013826,20140424,1
128004_merged_2013826,20140630,1
23_merged_2013833,20140704,1
13304_merged_2013834,20140418,1
13304_merged_2013834,20140416,1
13304_merged_2013834,20140417,1
13304_merged_2013834,20140414,1
13304_merged_2013834,20140415,1
13304_merged_2013834,20140421,1
12_merged_2013884,20141128,1
82404_merged_2013835,20140508,1
82404_merged_2013835,20140530,1
82404_merged_2013835,20140519,1
82404_merged_2013835,20140428,1
82404_merged_2013835,20140528,1
82404_merged_2013835,20140509,1
82404_merged_2013835,20140513,1
82404_merged_2013835,20140512,1
82404_merged_2013835,20140502,1
82404_merged_2013835,20140522,1
82404_merged_2013835,20140516,1
82404_merged_2013835,20140515,1
82404_merged_2013835,20140514,1
82404_merged_2013835,20140425,1
82404_merged_2013835,20140506,1
82404_merged_2013835,20140521,1
82404_merged_2013835,20140423,1
82404_merged_2013835,20140507,1
82404_merged_2013835,20140602,1
82404_merged_2013835,20140429,1
82404_merged_2013835,20140505,1
82404_merged_2013835,20140529,1
82404_merged_2013835,20140520,1
82404_merged_2013835,20140424,1
82404_merged_2013835,20140603,1
82404_merged_2013835,20140430,1
82404_merged_2013835,20140501,1
82404_merged_2013835,20140527,1
82404_merged_2013835,20140422,1
82404_merged_2013835,20140421,1
24904_merged_2013842,20140731,1
24904_merged_2013842,20140730,1
24904_merged_2013842,20140630,1
24904_merged_2013842,20140808,1
24904_merged_2013842,20140805,1
24904_merged_2013842,20140804,1
24904_merged_2013842,20140807,1
24904_merged_2013842,20140806,1
24904_merged_2013842,20140801,1
24904_merged_2013842,20140620,1
24904_merged_2013842,20140623,1
24904_merged_2013842,20140625,1
24904_merged_2013842,20140624,1
24904_merged_2013842,20140627,1
24904_merged_2013842,20140626,1
24904_merged_2013842,20140708,1
24904_merged_2013842,20140709,1
24904_merged_2013842,20140702,1
24904_merged_2013842,20140703,1
24904_merged_2013842,20140609,1
24904_merged_2013842,20140701,1
24904_merged_2013842,20140707,1
24904_merged_2013842,20140725,1
24904_merged_2013842,20140721,1
24904_merged_2013842,20140722,1
24904_merged_2013842,20140723,1
24904_merged_2013842,20140728,1
24904_merged_2013842,20140729,1
24904_merged_2013842,20140618,1
24904_merged_2013842,20140619,1
24904_merged_2013842,20140812,1
24904_merged_2013842,20140813,1
